marka,seri,model,yıl,km,vites,yakıt,kasa_tipi,motor_hacmi,motor_gücü,çekiş,fiyat
Mercedes - Benz,B,B 150 Prestige,2009,111000,Otomatik,Benzin,MPV,1498,95,Önden Çekiş,491000
Mercedes - Benz,B,B 180 CDI BlueEFFICIENCY Urban,2016,110000,Yarı Otomatik,Dizel,MPV,1461,109,Önden Çekiş,885000
Mercedes - Benz,E,180 Exclusive,2018,69529,Otomatik,Benzin,Sedan,1595,156,Arkadan İtiş,1830000
Mercedes - Benz,190,190 D 2.0,1991,390000,Otomatik,Dizel,Sedan,1900,63,Arkadan İtiş,213000
Mercedes - Benz,A,A 180 CDI BlueEFFICIENCY AMG Sport,2017,145000,Yarı Otomatik,Dizel,Hatchback/5,1461,109,Önden Çekiş,815000
Mercedes - Benz,C,C 180 Avantgarde,2011,208000,Otomatik,Benzin,Sedan,1796,156,Arkadan İtiş,700000
Mercedes - Benz,E,250 Elit,2013,199000,Otomatik,Benzin,Sedan,1991,211,Arkadan İtiş,1230000
Mercedes - Benz,A,A 180 CDI BlueEFFICIENCY Style,2015,98500,Yarı Otomatik,Dizel,Hatchback/5,1461,109,Önden Çekiş,780000
Mercedes - Benz,C,C 180 BlueEFFICIENCY AMG,2011,270000,Otomatik,LPG & Benzin,Sedan,1796,156,Arkadan İtiş,630000
Mercedes - Benz,C,C 180 Avantgarde,2015,111650,Otomatik,Benzin,Sedan,1595,156,Arkadan İtiş,988750
Mercedes - Benz,E,200 Kompressor Avantgarde,1998,360000,Otomatik,LPG & Benzin,Sedan,1998,186,Arkadan İtiş,338000
Mercedes - Benz,200,E,1989,98200,Düz,LPG & Benzin,Sedan,1997,118,Arkadan İtiş,200000
Mercedes - Benz,A,A 180 CDI BlueEFFICIENCY AMG Sport,2016,90000,Yarı Otomatik,Dizel,Hatchback/5,1461,109,Önden Çekiş,865000
Mercedes - Benz,C,C 180 Kompressor BlueEfficiency Fascination,2011,192000,Otomatik,Benzin,Sedan,1597,156,Arkadan İtiş,650000
Mercedes - Benz,B,B 180 BlueEFFICIENCY Elite,2012,80000,Düz,Benzin,MPV,1595,122,Önden Çekiş,550000
Mercedes - Benz,E,250 CDI BlueEFFICIENCY Avantgarde,2012,235000,Otomatik,Dizel,Sedan,2143,204,Arkadan İtiş,950000
Mercedes - Benz,C,C 200 d BlueTEC AMG,2017,2900,Otomatik,Dizel,Sedan,1598,136,Arkadan İtiş,1650000
Mercedes - Benz,E,250 AMG,2011,127292,Otomatik,Benzin,Cabrio,1700,213,Arkadan İtiş,1229000
Mercedes - Benz,E,250 CGI AMG,2015,125929,Otomatik,Benzin,Sedan,1796,204,Arkadan İtiş,1279000
Mercedes - Benz,200,E,1991,307000,Otomatik,LPG & Benzin,Sedan,2250,113,Arkadan İtiş,235000
Mercedes - Benz,E,200 d Exclusive,2020,20150,Otomatik,Dizel,Sedan,1597,160,Arkadan İtiş,2559000
Mercedes - Benz,C,C 200 d BlueTEC Exclusive,2015,200000,Otomatik,Dizel,Sedan,1598,136,Arkadan İtiş,1275000
Mercedes - Benz,C,C 180 Elegance,1995,213000,Düz,LPG & Benzin,Sedan,1799,122,Arkadan İtiş,255500
Mercedes - Benz,C,C 200 d BlueTEC AMG,2016,69000,Otomatik,Dizel,Sedan,1598,136,Arkadan İtiş,1500000
Mercedes - Benz,B,B 180 BlueEFFICIENCY Sport,2014,35000,Yarı Otomatik,Benzin,MPV,1500,113,Önden Çekiş,715000
Mercedes - Benz,200,E,1990,342000,Düz,LPG & Benzin,Sedan,1997,118,Arkadan İtiş,185000
Mercedes - Benz,S,S 350 350 BlueTEC,2014,86410,Otomatik,Dizel,Sedan,2987,258,4WD (Sürekli),3999000
