marka,seri,model,yıl,km,vites,yakıt,kasa_tipi,motor_hacmi,motor_gücü,çekiş,fiyat
BMW,3 Serisi,320i ED Modern Line,2013,160000,Otomatik,Benzin,Sedan,1598,170,Arkadan İtiş,750000
BMW,5 Serisi,525d xDrive Premium,2012,255000,Otomatik,Dizel,Sedan,1995,218,4WD (Sürekli),830000
BMW,3 Serisi,320i ED M Plus,2015,122000,Otomatik,Benzin,Sedan,1598,170,Arkadan İtiş,875000
BMW,3 Serisi,320i ED Modern Line,2014,118000,Otomatik,Benzin,Sedan,1598,170,Arkadan İtiş,850000
BMW,3 Serisi,318i Standart,2007,224000,Otomatik,Benzin,Sedan,1995,143,Arkadan İtiş,405000
BMW,3 Serisi,316i M Sport,2014,109000,Otomatik,Benzin,Sedan,1598,136,Arkadan İtiş,900000
BMW,3 Serisi,320i ED Sport Line,2015,103000,Otomatik,Benzin,Sedan,1598,170,Arkadan İtiş,875000
BMW,5 Serisi,520i Executive Plus,2016,130000,Otomatik,Benzin,Sedan,1592,170,Arkadan İtiş,1300000
BMW,7 Serisi,730d Long Exclusive,2011,342500,Otomatik,Dizel,Sedan,2993,245,Arkadan İtiş,1200000
BMW,5 Serisi,520i Executive,2016,103500,Otomatik,Benzin,Sedan,1592,170,Arkadan İtiş,1185000
BMW,3 Serisi,320d Edition Comfort,2011,242000,Otomatik,Dizel,Sedan,1995,184,Arkadan İtiş,555000
BMW,3 Serisi,316i Standart,2014,145000,Otomatik,Benzin,Sedan,1598,136,Arkadan İtiş,762000
BMW,3 Serisi,320d Techno Plus,2014,145000,Otomatik,Dizel,Sedan,1995,184,Arkadan İtiş,925000
BMW,3 Serisi,320d Edition Comfort,2012,175500,Otomatik,Dizel,Sedan,1995,184,Arkadan İtiş,585000
BMW,5 Serisi,520i Comfort Plus,2018,65200,Otomatik,Benzin,Sedan,1597,170,Arkadan İtiş,1875000
BMW,4 Serisi,420i Edition M Sport,2021,29000,Otomatik,Benzin,Coupe,1597,170,Arkadan İtiş,2300000
BMW,5 Serisi,520i Prestige,2017,92000,Otomatik,Benzin,Sedan,1597,170,Arkadan İtiş,1630000
BMW,3 Serisi,316i Modern Line,2012,148000,Otomatik,Benzin,Sedan,1598,136,Arkadan İtiş,775000
BMW,5 Serisi,525d xDrive Premium,2016,190000,Otomatik,Dizel,Sedan,1995,218,4WD (Sürekli),1496500
BMW,5 Serisi,520d Comfort,2013,205000,Otomatik,Dizel,Sedan,1995,184,Arkadan İtiş,1080000
BMW,3 Serisi,318i Premium Line,2018,40000,Otomatik,Benzin,Sedan,1499,136,Arkadan İtiş,1200000
BMW,5 Serisi,520d Premium,2009,348000,Yarı Otomatik,Dizel,Sedan,1900,188,Arkadan İtiş,525000
BMW,3 Serisi,320i,1995,386000,Otomatik,LPG & Benzin,Sedan,1991,150,Arkadan İtiş,199750
BMW,5 Serisi,520i Luxury Line,2017,86000,Otomatik,Benzin,Sedan,1597,170,Arkadan İtiş,1695900
BMW,3 Serisi,318i M Joy,2016,34100,Otomatik,Benzin,Sedan,1499,136,Arkadan İtiş,995000
BMW,1 Serisi,116d M Sport,2015,205000,Otomatik,Dizel,Hatchback/5,1496,116,Arkadan İtiş,695500
BMW,3 Serisi,320d M Sport,2012,290000,Otomatik,Dizel,Sedan,1995,184,Arkadan İtiş,650000
BMW,3 Serisi,316i M Sport,2015,103000,Otomatik,Benzin,Sedan,1598,136,Arkadan İtiş,905000
BMW,3 Serisi,318i Edition M Sport,2017,88000,Otomatik,Benzin,Sedan,1499,136,Arkadan İtiş,1120000
BMW,3 Serisi,318i Edition M Sport,2017,72500,Otomatik,Benzin,Sedan,1499,136,Arkadan İtiş,1120000
BMW,5 Serisi,520i Premium,2016,45000,Otomatik,Benzin,Sedan,1592,170,Arkadan İtiş,1455553
BMW,3 Serisi,320i ED 40th Year Edition,2016,127000,Otomatik,Benzin,Sedan,1598,170,Arkadan İtiş,1115000
BMW,5 Serisi,520i Executive Plus,2016,197270,Otomatik,Benzin,Sedan,1592,170,Arkadan İtiş,1225000
BMW,5 Serisi,520i Premium,2015,134000,Otomatik,Benzin,Sedan,1592,170,Arkadan İtiş,1230000
BMW,3 Serisi,316i Standart,1998,325000,Düz,LPG & Benzin,Sedan,1596,102,Arkadan İtiş,189000
BMW,3 Serisi,320i ED 40th Year Edition,2015,160000,Otomatik,Benzin,Sedan,1598,170,Arkadan İtiş,1195000
BMW,3 Serisi,320d Standart,2013,222000,Otomatik,Dizel,Sedan,1995,184,Arkadan İtiş,690000
BMW,3 Serisi,316i Standart,1993,420000,Düz,LPG & Benzin,Sedan,1596,102,Arkadan İtiş,189000
BMW,3 Serisi,318is,1993,291000,Düz,LPG & Benzin,Coupe,1796,140,Arkadan İtiş,190000
BMW,1 Serisi,116d ED Comfort,2012,204000,Otomatik,Dizel,Hatchback/5,1598,116,Arkadan İtiş,445000
BMW,3 Serisi,320i ED Sport Line,2013,98000,Otomatik,Benzin,Sedan,1598,170,Arkadan İtiş,980000
BMW,1 Serisi,116i Standart,2005,305000,Düz,LPG & Benzin,Hatchback/5,1596,115,Arkadan İtiş,318500
BMW,7 Serisi,730d Long Individual,2008,417000,Otomatik,Dizel,Sedan,2993,231,Arkadan İtiş,700000
BMW,6 Serisi,640xd Gran Coupe M Sport,2013,139000,Otomatik,Dizel,Coupe,2993,313,4WD (Sürekli),2550000
BMW,3 Serisi,318Ci,2000,307000,Düz,Benzin,Coupe,1895,118,Arkadan İtiş,260000
BMW,5 Serisi,520d Standart,2008,159550,Otomatik,Dizel,Sedan,1995,177,Arkadan İtiş,927000
BMW,3 Serisi,316i Sport Line,2014,168000,Otomatik,Benzin,Sedan,1598,136,Arkadan İtiş,755000
BMW,3 Serisi,318i Standart,1991,255000,Düz,LPG & Benzin,Sedan,1796,113,Arkadan İtiş,138000
BMW,5 Serisi,520i Executive,2016,103500,Otomatik,Benzin,Sedan,1592,170,Arkadan İtiş,1185000
BMW,5 Serisi,520i Comfort,2014,149000,Otomatik,Benzin,Sedan,1592,170,Arkadan İtiş,1075000
BMW,3 Serisi,316i Standart,1992,206000,Otomatik,LPG & Benzin,Sedan,1596,99,Arkadan İtiş,168750
BMW,3 Serisi,320i ED 40th Year Edition,2015,105000,Otomatik,Benzin,Sedan,1598,170,Arkadan İtiş,1000000
BMW,3 Serisi,318i M Sport,2016,43000,Otomatik,Benzin,Sedan,1499,136,Arkadan İtiş,1210000
BMW,3 Serisi,316i Comfort,2015,151000,Otomatik,Benzin,Sedan,1598,136,Arkadan İtiş,765000
BMW,3 Serisi,318Ci,2001,235000,Düz,LPG & Benzin,Coupe,1895,118,Arkadan İtiş,255000
BMW,5 Serisi,520i Premium,2014,211000,Otomatik,Benzin,Sedan,1592,170,Arkadan İtiş,985000
BMW,3 Serisi,316i Standart,2012,205000,Otomatik,Benzin,Sedan,1598,136,Arkadan İtiş,650000
BMW,3 Serisi,320d Premium,2007,347000,Otomatik,Dizel,Sedan,1995,177,Arkadan İtiş,450000
BMW,5 Serisi,520i Executive Plus,2016,186276,Otomatik,Benzin,Sedan,1592,170,Arkadan İtiş,1210000
BMW,5 Serisi,520i Comfort Plus,2017,60000,Otomatik,Benzin,Sedan,1597,170,Arkadan İtiş,1800000
BMW,1 Serisi,118i M Sport,2022,7050,Otomatik,Benzin,Hatchback/5,1499,140,Önden Çekiş,1400000
BMW,5 Serisi,520i Standart,1990,300000,Düz,LPG & Benzin,Sedan,1991,150,Arkadan İtiş,140000
BMW,1 Serisi,118i M Plus,2015,73000,Otomatik,Benzin,Hatchback/5,1499,136,Arkadan İtiş,785000
BMW,5 Serisi,525d xDrive Premium,2014,152000,Otomatik,Dizel,Sedan,1995,218,4WD (Sürekli),1380000
BMW,5 Serisi,520i Standart,1997,351000,Otomatik,LPG & Benzin,Sedan,1991,150,Arkadan İtiş,215000
BMW,1 Serisi,116d ED EfficientDynamics,2014,206150,Düz,Dizel,Hatchback/5,1598,116,Arkadan İtiş,550000
BMW,3 Serisi,320Ci,2003,362000,Düz,Benzin,Coupe,2171,170,Arkadan İtiş,330000
BMW,3 Serisi,316i Compact,1998,250000,Düz,LPG & Benzin,Hatchback/3,1596,102,Arkadan İtiş,130000
BMW,5 Serisi,520i Premium,2015,80000,Otomatik,Benzin,Sedan,1592,170,Arkadan İtiş,1650
BMW,3 Serisi,316i Premium,2009,165000,Düz,LPG & Benzin,Sedan,1597,122,Arkadan İtiş,495000
BMW,3 Serisi,320i ED Luxury Line Plus,2014,101000,Otomatik,Benzin,Sedan,1598,170,Arkadan İtiş,868000
BMW,3 Serisi,320d Standart,2010,190000,Otomatik,Dizel,Sedan,1995,184,Arkadan İtiş,550000
BMW,3 Serisi,320i Premium,2007,270000,Otomatik,LPG & Benzin,Sedan,1995,150,Arkadan İtiş,380000
BMW,5 Serisi,520i Comfort,2013,172000,Otomatik,Benzin,Sedan,1592,170,Arkadan İtiş,925000
BMW,3 Serisi,320i ED Modern Line,2014,128569,Otomatik,Benzin,Sedan,1598,170,Arkadan İtiş,770000
BMW,3 Serisi,316i Standart,2006,269500,Düz,Benzin,Sedan,1596,115,Arkadan İtiş,419900
BMW,5 Serisi,520d Premium,2013,255000,Otomatik,Dizel,Sedan,1995,184,Arkadan İtiş,915000
BMW,5 Serisi,520d Comfort,2011,280000,Otomatik,Dizel,Sedan,1995,184,Arkadan İtiş,800000
BMW,5 Serisi,520i Standart,2004,332000,Otomatik,Benzin,Sedan,2171,170,Arkadan İtiş,369000
BMW,3 Serisi,320d M Sport,2011,294000,Otomatik,Dizel,Sedan,1995,184,Arkadan İtiş,545000
BMW,i Serisi,i4 M50,2022,6986,Otomatik,Elektrik,Coupe,-,544,4WD (Sürekli),4085000
BMW,3 Serisi,320i ED Sport Line,2013,222203,Otomatik,Benzin,Sedan,1598,170,Arkadan İtiş,715000
BMW,5 Serisi,520d Standart,2007,340000,Otomatik,Dizel,Sedan,1995,163,Arkadan İtiş,457000
BMW,3 Serisi,318i Standart,2003,132000,Otomatik,Benzin,Sedan,1995,143,Arkadan İtiş,398000
BMW,1 Serisi,116i Premium,2008,275000,Otomatik,Benzin,Hatchback/5,1596,116,Arkadan İtiş,379900
BMW,5 Serisi,520i Comfort Plus,2018,30000,Otomatik,Benzin,Sedan,1597,170,Arkadan İtiş,1790000
BMW,2 Serisi,216d Gran Coupe First Edition Sport Line,2020,27758,Otomatik,Dizel,Coupe,1496,116,Önden Çekiş,1239000
BMW,1 Serisi,118i M Sport,2018,99500,Otomatik,Benzin,Hatchback/5,1499,136,Arkadan İtiş,915000
BMW,1 Serisi,116i Standart,2012,72000,Otomatik,Benzin,Hatchback/5,1598,136,Arkadan İtiş,629950
BMW,3 Serisi,316i Standart,2014,210000,Otomatik,Benzin,Sedan,1598,136,Arkadan İtiş,650000
BMW,3 Serisi,318i Standart,2004,159000,Otomatik,Benzin,Sedan,1995,143,Arkadan İtiş,432250
BMW,5 Serisi,525d xDrive M Sport,2012,259000,Otomatik,Dizel,Sedan,1995,218,4WD (Sürekli),1125000
BMW,1 Serisi,118i Joy,2015,99000,Otomatik,Benzin,Hatchback/5,1499,136,Arkadan İtiş,675000
BMW,3 Serisi,316i Standart,2000,336000,Düz,LPG & Benzin,Sedan,1595,105,Arkadan İtiş,255000
BMW,3 Serisi,318i Standart,1992,121000,Otomatik,Benzin,Sedan,1796,113,Arkadan İtiş,219000
BMW,3 Serisi,320d Standart,2012,304000,Otomatik,Dizel,Sedan,1995,184,Arkadan İtiş,627500
BMW,3 Serisi,320i,1999,310000,Otomatik,LPG & Benzin,Sedan,1991,150,Arkadan İtiş,275000
BMW,3 Serisi,316ti Compact,2003,370000,Düz,LPG & Benzin,Hatchback/3,1596,115,Arkadan İtiş,185000
BMW,5 Serisi,530xd Standart,2006,250000,Otomatik,Dizel,Sedan,2993,231,4WD (Sürekli),615000
BMW,3 Serisi,316i Standart,1995,300000,Düz,LPG & Benzin,Hatchback/3,1596,102,Arkadan İtiş,144479
BMW,3 Serisi,318i Sport Plus,2017,150000,Otomatik,Benzin,Sedan,1499,136,Arkadan İtiş,895000
BMW,3 Serisi,316i Sport Line,2013,150000,Otomatik,Benzin,Sedan,1598,136,Arkadan İtiş,755000
BMW,1 Serisi,116i Comfort,2011,234000,Otomatik,LPG & Benzin,Hatchback/5,1598,136,Arkadan İtiş,395000
BMW,7 Serisi,730d Long Exclusive,2011,404000,Otomatik,Dizel,Sedan,2993,245,Arkadan İtiş,1280000
BMW,3 Serisi,320d Touring,2000,292000,Düz,Dizel,Station wagon,1951,136,Arkadan İtiş,310000
BMW,3 Serisi,318i Standart,2003,241000,Otomatik,LPG & Benzin,Sedan,1895,118,Arkadan İtiş,270000
BMW,5 Serisi,520i Premium,2014,167000,Otomatik,Benzin,Sedan,1592,170,Arkadan İtiş,1025000
BMW,3 Serisi,316i Comfort,2013,125000,Otomatik,Benzin,Sedan,1598,136,Arkadan İtiş,687500
BMW,3 Serisi,316i M Sport,2015,320000,Otomatik,Benzin,Sedan,1598,136,Arkadan İtiş,769000
BMW,1 Serisi,116i Standart,2005,338000,Düz,LPG & Benzin,Hatchback/5,1596,115,Arkadan İtiş,280000
BMW,3 Serisi,318i Edition Luxury Line,2018,119000,Otomatik,Benzin,Sedan,1499,136,Arkadan İtiş,995000
BMW,3 Serisi,320i,2005,305000,Otomatik,LPG & Benzin,Sedan,1995,150,Arkadan İtiş,369950
BMW,1 Serisi,116i Urban Line,2012,265000,Otomatik,Benzin,Hatchback/5,1598,136,Arkadan İtiş,539900
BMW,3 Serisi,320d M Sport,2011,198000,Otomatik,Dizel,Sedan,1995,184,Arkadan İtiş,575000
BMW,5 Serisi,520i Executive,2016,193000,Otomatik,Benzin,Sedan,1592,170,Arkadan İtiş,1035000
BMW,Z Serisi,Z4 2.3i sDrive,2010,105000,Otomatik,Benzin,Coupe,2497,204,Arkadan İtiş,1200000
BMW,3 Serisi,320d Standart,2003,327500,Otomatik,Dizel,Sedan,1995,150,Arkadan İtiş,325000
BMW,5 Serisi,520i M Sport,2022,6500,Otomatik,Benzin,Sedan,1597,170,Arkadan İtiş,2900000
BMW,5 Serisi,520d M Sport,2011,245000,Otomatik,Dizel,Sedan,1995,184,Arkadan İtiş,869750
BMW,3 Serisi,320d Edition Comfort,2012,251000,Otomatik,Dizel,Sedan,1995,184,Arkadan İtiş,538000
BMW,3 Serisi,320d Premium,2005,198000,Otomatik,Dizel,Sedan,1995,163,Arkadan İtiş,359000
BMW,5 Serisi,520i M Sport,2022,9900,Otomatik,Benzin,Sedan,1597,170,Arkadan İtiş,2925000
BMW,7 Serisi,735i,2002,420000,Otomatik,LPG & Benzin,Sedan,3600,272,Arkadan İtiş,365000
BMW,5 Serisi,520i Standart,2000,327000,Otomatik,LPG & Benzin,Sedan,1991,150,Arkadan İtiş,247500
BMW,3 Serisi,320d Premium,2006,273000,Otomatik,Dizel,Sedan,1995,163,Arkadan İtiş,400000
BMW,1 Serisi,116d ED Sport Line,2012,250000,Düz,Dizel,Hatchback/5,1598,116,Arkadan İtiş,430000
BMW,3 Serisi,320d Edition Comfort,2011,290000,Otomatik,Dizel,Sedan,1995,184,Arkadan İtiş,455000
BMW,3 Serisi,320i,2008,212000,Otomatik,LPG & Benzin,Sedan,1995,170,Arkadan İtiş,482750
BMW,3 Serisi,320d Premium,2010,236500,Otomatik,Dizel,Sedan,1995,177,Arkadan İtiş,495000
BMW,7 Serisi,740d xDrive M Sport,2012,249500,Otomatik,Dizel,Sedan,2993,306,4WD (Sürekli),1599000
BMW,3 Serisi,320i ED Techno Plus,2013,175000,Otomatik,Benzin,Sedan,1598,170,Arkadan İtiş,669000
BMW,1 Serisi,118i M Plus,2015,120000,Otomatik,Benzin,Hatchback/5,1499,136,Arkadan İtiş,788000
BMW,5 Serisi,520d Premium,2013,205000,Otomatik,Dizel,Sedan,1995,184,Arkadan İtiş,1175000
BMW,5 Serisi,520i Premium,2014,176000,Otomatik,Benzin,Sedan,1592,170,Arkadan İtiş,975000
BMW,5 Serisi,520d Comfort,2012,265000,Otomatik,Dizel,Sedan,1995,184,Arkadan İtiş,773500
BMW,1 Serisi,116i Advantage,2006,243000,Düz,Benzin,Hatchback/5,1596,115,Arkadan İtiş,310000
BMW,3 Serisi,320i ED Sport Line,2015,69000,Otomatik,Benzin,Sedan,1598,170,Arkadan İtiş,1125000
BMW,4 Serisi,418i Gran Coupe M Sport,2015,116000,Otomatik,Benzin,Coupe,1499,136,Arkadan İtiş,1150000
BMW,5 Serisi,520i Modern Line,2014,143000,Otomatik,Benzin,Sedan,1592,170,Arkadan İtiş,1115000
BMW,3 Serisi,320d Premium,2011,280000,Otomatik,Dizel,Sedan,1995,177,Arkadan İtiş,495000
BMW,5 Serisi,525d xDrive Premium,2015,125000,Otomatik,Dizel,Sedan,1995,218,4WD (Sürekli),1500000
BMW,5 Serisi,520i M Sport,2015,132000,Otomatik,Benzin,Sedan,1592,170,Arkadan İtiş,1300000
BMW,3 Serisi,320i ED M Plus,2015,163000,Otomatik,Benzin,Sedan,1598,170,Arkadan İtiş,885000
BMW,3 Serisi,316i Comfort,2011,293000,Otomatik,LPG & Benzin,Sedan,1596,116,Arkadan İtiş,475000
BMW,5 Serisi,520i Executive M Sport,2017,112000,Otomatik,Benzin,Sedan,1592,170,Arkadan İtiş,1960000
BMW,3 Serisi,318i M Sport,2015,76000,Otomatik,Benzin,Station wagon,1499,136,Arkadan İtiş,1200000
BMW,3 Serisi,320d Sport Line,2013,223000,Otomatik,Dizel,Sedan,1995,184,Arkadan İtiş,639500
BMW,5 Serisi,525d xDrive xDrive,2014,202220,Otomatik,Dizel,Sedan,1995,218,4WD (Sürekli),1055000
BMW,5 Serisi,520d Comfort,2013,200000,Otomatik,Dizel,Sedan,1995,184,Arkadan İtiş,990000
BMW,5 Serisi,520i Executive M Sport,2017,120000,Otomatik,Benzin,Sedan,1592,170,Arkadan İtiş,1850000
BMW,3 Serisi,320i ED Sport Line,2016,111000,Yarı Otomatik,Benzin,Sedan,1598,170,Arkadan İtiş,935000
BMW,3 Serisi,320d Comfort,2011,310000,Otomatik,Dizel,Sedan,1995,184,Arkadan İtiş,325000
BMW,1 Serisi,116i M Sport,2012,191000,Otomatik,Benzin,Hatchback/5,1598,136,Arkadan İtiş,615000
BMW,5 Serisi,525d xDrive Premium,2013,232000,Otomatik,Dizel,Sedan,1995,218,4WD (Sürekli),1100000
BMW,5 Serisi,520i Standart,1997,470000,Otomatik,LPG & Benzin,Sedan,1991,150,Arkadan İtiş,200000
BMW,7 Serisi,740i,1997,135542,Otomatik,Benzin,Sedan,4398,286,Arkadan İtiş,850000
BMW,5 Serisi,520i Executive M Sport,2016,56500,Otomatik,Benzin,Sedan,1592,170,Arkadan İtiş,1495000
BMW,1 Serisi,118i Sport Line,2012,192000,Yarı Otomatik,Benzin,Hatchback/5,1500,163,Arkadan İtiş,567500
BMW,3 Serisi,316i Sport Line,2013,217000,Otomatik,Benzin,Sedan,1598,136,Arkadan İtiş,780000
BMW,3 Serisi,320i ED Modern Line,2013,141000,Otomatik,Benzin,Sedan,1598,170,Arkadan İtiş,749500
BMW,3 Serisi,318is,1995,268000,Düz,LPG & Benzin,Sedan,1796,140,Arkadan İtiş,150000
BMW,3 Serisi,320i ED Sport Line,2016,194000,Otomatik,Benzin,Sedan,1598,170,Arkadan İtiş,856000
BMW,3 Serisi,320d Edition Comfort,2011,240000,Otomatik,Dizel,Sedan,1995,184,Arkadan İtiş,580000
BMW,3 Serisi,316i M Sport,2011,245000,Otomatik,LPG & Benzin,Sedan,1596,116,Arkadan İtiş,380000
BMW,5 Serisi,520i Luxury Line,2020,17000,Otomatik,Benzin,Sedan,1597,170,Arkadan İtiş,2160000
BMW,3 Serisi,318i Prestige,2017,80000,Otomatik,Benzin,Sedan,1499,136,Arkadan İtiş,1020000
BMW,3 Serisi,320d Standart,2002,237732,Düz,Dizel,Sedan,1995,150,Arkadan İtiş,234234
BMW,3 Serisi,320i First Edition Sport Line,2019,32000,Otomatik,Benzin,Sedan,1597,170,Arkadan İtiş,1500000
BMW,1 Serisi,118i Standart,2007,223500,Otomatik,LPG & Benzin,Hatchback/5,1995,143,Arkadan İtiş,365000
BMW,5 Serisi,525d xDrive xDrive,2014,207888,Otomatik,Dizel,Sedan,1995,218,4WD (Sürekli),1350000
BMW,Z Serisi,Z3 2.8,1999,108579,Düz,Benzin,Coupe,2793,193,Arkadan İtiş,1100000
BMW,5 Serisi,530d Standart,2007,379500,Otomatik,Dizel,Sedan,2993,235,Arkadan İtiş,594500
BMW,1 Serisi,116i Premium,2009,207800,Otomatik,LPG & Benzin,Hatchback/5,1596,116,Arkadan İtiş,390000
BMW,3 Serisi,320d Premium,2010,237000,Otomatik,Dizel,Sedan,1995,177,Arkadan İtiş,550000
BMW,7 Serisi,740d xDrive Exclusive,2012,110000,Otomatik,Dizel,Sedan,2993,306,4WD (Sürekli),545000
BMW,5 Serisi,528i Standart,1999,398500,Otomatik,LPG & Benzin,Sedan,2793,193,Arkadan İtiş,265000
BMW,3 Serisi,318is,1998,255000,Düz,LPG & Benzin,Coupe,1895,140,Arkadan İtiş,240000
BMW,3 Serisi,320d Comfort,2010,197000,Otomatik,Dizel,Sedan,1995,177,Arkadan İtiş,495000
BMW,3 Serisi,316i Sport Line,2013,128000,Otomatik,Benzin,Sedan,1598,136,Arkadan İtiş,758000
BMW,3 Serisi,320d Techno Plus,2013,280000,Otomatik,Dizel,Sedan,1995,184,Arkadan İtiş,657000
BMW,7 Serisi,730d Standart,2005,480000,Otomatik,Dizel,Sedan,2993,231,Arkadan İtiş,550000
BMW,3 Serisi,320i ED Luxury Line,2014,116111,Otomatik,Benzin,Sedan,1598,170,Arkadan İtiş,890000
BMW,5 Serisi,520i Special Edition M Sport,2021,38000,Otomatik,Benzin,Sedan,1597,170,Arkadan İtiş,2395000
BMW,3 Serisi,318i Standart,2005,320000,Otomatik,Benzin,Sedan,1995,143,Arkadan İtiş,327000
BMW,3 Serisi,318i Standart,1998,269000,Düz,LPG & Benzin,Sedan,1895,118,Arkadan İtiş,245000
BMW,3 Serisi,318i Standart,1998,290000,Düz,LPG & Benzin,Sedan,1895,118,Arkadan İtiş,235000
BMW,3 Serisi,316i Standart,2006,258500,Düz,LPG & Benzin,Sedan,1596,115,Arkadan İtiş,390000
BMW,3 Serisi,316i Standart,1997,276000,Otomatik,LPG & Benzin,Sedan,1596,102,Arkadan İtiş,185000
BMW,3 Serisi,320d Standart,2001,316000,Otomatik,Dizel,Sedan,1951,136,Arkadan İtiş,270000
BMW,3 Serisi,320i,2000,375000,Otomatik,LPG & Benzin,Sedan,1991,170,Arkadan İtiş,210000
BMW,3 Serisi,320i,1993,336000,Düz,LPG & Benzin,Sedan,1991,150,Arkadan İtiş,158320
BMW,3 Serisi,316i Standart,2005,192000,Düz,LPG & Benzin,Sedan,1796,116,Arkadan İtiş,359000
BMW,5 Serisi,520d Standart,2007,357500,Otomatik,Dizel,Sedan,1995,163,Arkadan İtiş,449000
BMW,3 Serisi,318i Standart,2005,226000,Otomatik,LPG & Benzin,Sedan,1995,143,Arkadan İtiş,427000
BMW,3 Serisi,320d Standart,2010,280000,Otomatik,Dizel,Sedan,1995,184,Arkadan İtiş,440000
BMW,5 Serisi,520i Comfort,2014,50000,Otomatik,Benzin,Sedan,1592,170,Arkadan İtiş,1290000
BMW,3 Serisi,320i Premium,2007,123000,Otomatik,Benzin,Sedan,1995,150,Arkadan İtiş,545000
BMW,3 Serisi,320i ED M Plus,2013,160000,Otomatik,Benzin,Sedan,1598,170,Arkadan İtiş,830000
BMW,3 Serisi,320i ED Techno Plus,2014,85000,Otomatik,Benzin,Sedan,1598,170,Arkadan İtiş,945000
BMW,3 Serisi,320d Premium,2006,320000,Otomatik,Dizel,Sedan,1995,163,Arkadan İtiş,434900
BMW,3 Serisi,320d M Sport,2011,290000,Otomatik,Dizel,Sedan,1995,184,Arkadan İtiş,425000
BMW,3 Serisi,318i Standart,2001,272100,Düz,LPG & Benzin,Sedan,1895,118,Arkadan İtiş,235000
BMW,5 Serisi,520i Comfort,2013,210000,Otomatik,Benzin,Sedan,1592,170,Arkadan İtiş,915000
BMW,3 Serisi,320d Premium,2006,288000,Otomatik,Dizel,Sedan,1995,163,Arkadan İtiş,375000
BMW,3 Serisi,320d Premium Line,2018,88000,Otomatik,Dizel,Sedan,1995,190,Arkadan İtiş,1275000
BMW,5 Serisi,520i Standart,1997,390000,Otomatik,LPG & Benzin,Sedan,1991,150,Arkadan İtiş,220000
BMW,5 Serisi,520i Executive,2016,12000,Otomatik,Benzin,Sedan,1592,170,Arkadan İtiş,1600000
BMW,3 Serisi,318i Prestige,2017,82000,Otomatik,Benzin,Sedan,1499,136,Arkadan İtiş,970000
BMW,5 Serisi,520d Comfort,2013,250000,Otomatik,Dizel,Sedan,1995,184,Arkadan İtiş,835000
BMW,5 Serisi,520i Luxury Line,2021,13800,Otomatik,Benzin,Sedan,1597,170,Arkadan İtiş,2475000
BMW,3 Serisi,320i ED 40th Year Edition,2016,70000,Otomatik,Benzin,Sedan,1598,170,Arkadan İtiş,999900
BMW,7 Serisi,730d xDrive Standart,2014,225900,Otomatik,Dizel,Sedan,2993,258,4WD (Sürekli),1499900
BMW,3 Serisi,320i ED 40th Year Edition,2015,150000,Otomatik,Benzin,Sedan,1598,170,Arkadan İtiş,1080000
BMW,3 Serisi,316i M Sport,2013,115000,Yarı Otomatik,Benzin,Sedan,1598,136,Arkadan İtiş,775000
BMW,3 Serisi,320i ED Techno Plus,2014,215000,Otomatik,Benzin,Sedan,1598,170,Arkadan İtiş,825000
BMW,1 Serisi,118i Urban Line,2012,155000,Otomatik,Benzin,Hatchback/5,1598,170,Arkadan İtiş,655000
BMW,4 Serisi,420i Gran Coupe M Sport,2022,12000,Otomatik,Benzin,Coupe,1597,170,Arkadan İtiş,2375000
BMW,5 Serisi,520d Comfort,2011,247500,Otomatik,Dizel,Sedan,1995,184,Arkadan İtiş,765000
BMW,3 Serisi,320d Comfort,2011,240000,Otomatik,Dizel,Sedan,1995,177,Arkadan İtiş,440000
BMW,4 Serisi,420i Gran Coupe M Sport,2022,7000,Otomatik,Benzin,Coupe,1597,170,Arkadan İtiş,2550000
BMW,5 Serisi,520i Comfort,2014,70250,Otomatik,Benzin,Sedan,1592,170,Arkadan İtiş,1190000
BMW,1 Serisi,118i Premium,2007,272000,Otomatik,LPG & Benzin,Hatchback/3,1995,143,Arkadan İtiş,392500
BMW,5 Serisi,525d xDrive M Sport,2012,240000,Otomatik,Dizel,Sedan,1995,218,4WD (Sürekli),799000
BMW,3 Serisi,320d Premium,2010,220000,Otomatik,Dizel,Sedan,1995,177,Arkadan İtiş,548000
BMW,2 Serisi,218i Gran Coupe First Edition M Sport,2020,35000,Otomatik,Benzin,Coupe,1499,140,Önden Çekiş,1355000
BMW,3 Serisi,320d Touring,2004,290000,Düz,Dizel,Station wagon,1995,150,Arkadan İtiş,277000
BMW,7 Serisi,740d,2011,249000,Otomatik,Dizel,Sedan,2993,306,Arkadan İtiş,1180000
BMW,1 Serisi,116d First Edition Sport Line,2019,29165,Otomatik,Dizel,Hatchback/5,1496,116,Önden Çekiş,1155000
BMW,4 Serisi,430i Edition M Sport,2020,14000,Otomatik,Benzin,Coupe,1998,258,Arkadan İtiş,3125000
BMW,3 Serisi,320i ED Sport Line,2014,110000,Otomatik,Benzin,Sedan,1598,170,Arkadan İtiş,899750
BMW,5 Serisi,520d Standart,2009,349000,Otomatik,Dizel,Sedan,1995,177,Arkadan İtiş,512000
BMW,5 Serisi,520d Premium,2007,338000,Otomatik,Dizel,Sedan,1995,177,Arkadan İtiş,449000
